RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =         1926     M =            5

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     9.673D+02  2.259D+05
    1    2     1     0  ---    0  9.5D-05  1.0D+00  6.085D+02  2.196D+05
    2    3     0     0  con    0  1.0D+00  1.0D+00  4.835D+02  2.147D+05
    3    4     0     0  con    0  1.0D+00  3.4D+00  3.722D+03  2.090D+05
    4    5     0     0  con    0  1.0D+00  1.7D+00  5.506D+03  2.060D+05
    5    6     0     0  con    0  1.0D+00  5.1D-01  2.665D+03  2.043D+05
    6    7     0     0  con    0  1.0D+00  3.8D-01  6.970D+02  2.035D+05
    7    8     0     0  con    0  1.0D+00  1.1D+00  8.951D+02  2.025D+05
    8    9     0     0  con    0  1.0D+00  1.3D+00  1.581D+03  2.016D+05
    9   10     0     0  con    0  1.0D+00  1.1D+00  1.626D+03  2.010D+05
   10   11     0     0  con    0  1.0D+00  3.3D-01  7.268D+02  2.006D+05
   11   12     0     0  con    0  1.0D+00  1.3D-01  4.343D+02  2.003D+05
   12   13     0     0  con    0  1.0D+00  2.7D-01  7.347D+02  2.001D+05
   13   14     0     0  con    0  1.0D+00  2.5D-01  1.161D+03  1.999D+05
   14   15     0     0  con    0  1.0D+00  7.4D-02  2.483D+02  1.998D+05
   15   16     0     0  con    0  1.0D+00  1.1D-01  2.524D+02  1.997D+05
   16   17     0     0  con    0  1.0D+00  1.4D-01  4.467D+02  1.996D+05
   17   18     0     0  con    0  1.0D+00  2.7D-01  7.998D+02  1.995D+05
   18   19     0     0  con    0  1.0D+00  1.2D-01  2.535D+02  1.994D+05
   19   20     0     0  con    0  1.0D+00  6.0D-02  2.103D+02  1.993D+05
   20   21     0     0  con    0  1.0D+00  1.3D-01  2.884D+02  1.993D+05
   21   22     0     0  con    0  1.0D+00  2.0D-01  5.943D+02  1.992D+05
