RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =         2778     M =            5

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     4.360D+00  1.179D+04
    1    3     1   843  ---    1  9.9D-04  4.0D-02  3.956D+00  1.179D+04
    2    4     1   843  con    0  1.0D+00  1.3D-02  1.803D+00  1.179D+04
    3    6     1   843  con    1  5.0D+00  2.8D-01  2.200D+01  1.179D+04
    4   10     1   843  con    3  1.0D-02  2.5D-01  4.263D+01  1.178D+04
    5   12     1   843  con    1  5.2D-01  1.8D-01  5.714D+01  1.178D+04
    6   13     1   843  con    0  1.0D+00  2.1D-01  7.129D+01  1.177D+04
    7   15     1   843  con    1  4.0D-01  3.3D-01  9.157D+01  1.175D+04
    8   16     1   843  con    0  1.0D+00  3.0D-01  8.882D+01  1.171D+04
    9   17     1   843  con    0  1.0D+00  4.2D-01  4.816D+01  1.157D+04
   10   18     1   843  con    0  1.0D+00  5.1D-01  5.075D+01  1.150D+04
   11   19     1   843  con    0  1.0D+00  2.9D-01  1.984D+01  1.144D+04
   12   20     1   843  con    0  1.0D+00  1.9D-01  1.426D+01  1.142D+04
   13   21     1   843  con    0  1.0D+00  2.4D-01  1.150D+01  1.140D+04
   14   22     1   843  con    0  1.0D+00  2.3D-01  9.812D+00  1.139D+04
   15   23     1   843  con    0  1.0D+00  3.1D-01  1.393D+01  1.138D+04
   16   24     1   843  con    0  1.0D+00  1.1D-01  7.155D+00  1.138D+04
   17   25     1   843  con    0  1.0D+00  1.4D-01  9.918D+00  1.137D+04
   18   26     1   843  con    0  1.0D+00  2.9D-01  8.717D+00  1.137D+04
   19   27     1   843  con    0  1.0D+00  2.4D-01  4.874D+01  1.136D+04
   20   28     1   843  con    0  1.0D+00  7.2D-02  5.916D+00  1.136D+04
   21   29     1   843  con    0  1.0D+00  8.7D-02  1.084D+01  1.135D+04
   22   31     1   843  con    1  5.2D-01  1.2D-01  1.643D+01  1.135D+04
   23   32     1   843  con    0  1.0D+00  2.6D-01  2.434D+01  1.135D+04
   24   33     1   843  con    0  1.0D+00  1.5D-01  3.808D+01  1.134D+04
   25   34     1   843  con    0  1.0D+00  9.4D-02  1.403D+01  1.134D+04
   26   35     1   843  con    0  1.0D+00  1.5D-01  1.749D+01  1.134D+04
   27   36     1   843  con    0  1.0D+00  5.1D-02  5.423D+00  1.134D+04
   28   37     1   843  con    0  1.0D+00  1.6D-01  1.289D+01  1.133D+04
   29   38     1   843  con    0  1.0D+00  1.5D-01  1.758D+01  1.133D+04
   30   39     1   843  con    0  1.0D+00  2.1D-01  1.817D+01  1.133D+04
   31   40     1   843  con    0  1.0D+00  9.4D-02  1.302D+01  1.133D+04
   32   41     1   843  con    0  1.0D+00  1.1D-01  9.768D+00  1.133D+04
   33   42     1   843  con    0  1.0D+00  8.6D-02  6.058D+00  1.132D+04
   34   43     1   843  con    0  1.0D+00  1.0D-01  5.288D+00  1.132D+04
   35   44     1   843  con    0  1.0D+00  1.5D-01  1.966D+01  1.132D+04
   36   45     1   843  con    0  1.0D+00  5.7D-02  5.728D+00  1.132D+04
   37   46     1   843  con    0  1.0D+00  7.9D-02  5.480D+00  1.132D+04
   38   47     1   843  con    0  1.0D+00  8.8D-02  6.277D+00  1.132D+04
   39   48     1   843  con    0  1.0D+00  1.7D-01  7.995D+00  1.132D+04
   40   49     1   843  con    0  1.0D+00  6.2D-02  1.026D+01  1.132D+04
   41   50     1   843  con    0  1.0D+00  4.5D-02  3.303D+00  1.132D+04
   42   51     1   843  con    0  1.0D+00  8.3D-02  5.906D+00  1.132D+04
   43   52     1   843  con    0  1.0D+00  7.3D-02  8.825D+00  1.131D+04
   44   53     1   843  con    0  1.0D+00  1.3D-01  1.175D+01  1.131D+04
   45   54     1   843  con    0  1.0D+00  4.9D-02  3.039D+00  1.131D+04
   46   55     1   843  con    0  1.0D+00  6.3D-02  3.120D+00  1.131D+04
   47   56     1   843  con    0  1.0D+00  1.6D-01  4.932D+00  1.131D+04
   48   57     1   843  con    0  1.0D+00  1.7D-01  1.407D+01  1.131D+04
   49   58     1   843  con    0  1.0D+00  5.5D-02  6.802D+00  1.131D+04
   50   59     1   843  con    0  1.0D+00  7.1D-02  6.333D+00  1.131D+04
   51   60     1   843  con    0  1.0D+00  4.9D-02  4.395D+00  1.131D+04
   52   61     1   843  con    0  1.0D+00  2.0D-01  7.279D+00  1.131D+04
   53   62     1   843  con    0  1.0D+00  1.1D-01  7.481D+00  1.131D+04
   54   63     1   843  con    0  1.0D+00  4.8D-02  3.435D+00  1.131D+04
   55   64     1   843  con    0  1.0D+00  7.1D-02  3.679D+00  1.131D+04
   56   65     1   843  con    0  1.0D+00  7.3D-02  7.264D+00  1.131D+04
   57   66     1   843  con    0  1.0D+00  6.8D-02  4.433D+00  1.131D+04
   58   67     1   843  con    0  1.0D+00  6.2D-02  2.740D+00  1.131D+04
   59   68     1   843  con    0  1.0D+00  6.0D-02  2.786D+00  1.131D+04
   60   69     1   843  con    0  1.0D+00  9.7D-02  5.721D+00  1.131D+04
   61   70     1   843  con    0  1.0D+00  8.1D-02  6.176D+00  1.131D+04
   62   71     1   843  con    0  1.0D+00  2.4D-02  3.586D+00  1.130D+04
   63   72     1   843  con    0  1.0D+00  4.9D-02  2.225D+00  1.130D+04
   64   73     1   843  con    0  1.0D+00  3.2D-02  1.667D+00  1.130D+04
   65   74     1   843  con    0  1.0D+00  6.7D-02  2.184D+00  1.130D+04
   66   75     1   843  con    0  1.0D+00  7.8D-02  3.346D+00  1.130D+04
   67   76     1   843  con    0  1.0D+00  3.7D-02  2.465D+00  1.130D+04
   68   77     1   843  con    0  1.0D+00  2.7D-02  1.199D+00  1.130D+04
   69   78     1   843  con    0  1.0D+00  4.5D-02  1.312D+00  1.130D+04
   70   79     1   843  con    0  1.0D+00  6.7D-02  6.581D+00  1.130D+04
   71   80     1   843  con    0  1.0D+00  4.8D-02  1.544D+00  1.130D+04
   72   81     1   843  con    0  1.0D+00  4.3D-02  1.287D+00  1.130D+04
   73   82     1   843  con    0  1.0D+00  6.0D-02  2.812D+00  1.130D+04
   74   83     1   843  con    0  1.0D+00  9.3D-02  3.005D+00  1.130D+04
   75   84     1   843  con    0  1.0D+00  4.5D-02  2.001D+00  1.130D+04
   76   85     1   843  con    0  1.0D+00  6.1D-02  2.095D+00  1.130D+04
   77   86     1   843  con    0  1.0D+00  9.2D-02  3.099D+00  1.130D+04
   78   87     1   843  con    0  1.0D+00  1.2D-01  6.212D+00  1.130D+04
   79   88     1   843  con    0  1.0D+00  2.5D-02  2.151D+00  1.130D+04
   80   89     1   843  con    0  1.0D+00  4.6D-02  1.895D+00  1.130D+04
   81   90     1   843  con    0  1.0D+00  7.0D-02  3.570D+00  1.130D+04
   82   91     1   843  con    0  1.0D+00  7.4D-02  3.520D+00  1.130D+04
   83   92     1   843  con    0  1.0D+00  6.6D-02  3.421D+00  1.130D+04
   84   93     1   843  con    0  1.0D+00  2.5D-02  1.483D+00  1.130D+04
   85   94     1   843  con    0  1.0D+00  4.2D-02  2.233D+00  1.130D+04
   86   95     1   843  con    0  1.0D+00  8.9D-02  1.777D+00  1.130D+04
   87   96     1   843  con    0  1.0D+00  6.8D-02  5.380D+00  1.130D+04
   88   97     1   843  con    0  1.0D+00  1.0D-02  1.435D+00  1.130D+04
   89   98     1   843  con    0  1.0D+00  2.5D-02  1.520D+00  1.130D+04
   90   99     1   843  con    0  1.0D+00  3.8D-02  1.985D+00  1.130D+04
   91  100     1   843  con    0  1.0D+00  7.2D-02  2.406D+00  1.130D+04
