1920 3
0.987764 0.0 -3.14159
0.978606 0.154996 -2.86952
0.942311 0.306175 -2.59745
0.882813 0.449816 -2.32538
0.801577 0.58238 -2.05331
0.700604 0.700604 -1.78124
0.58238 0.801577 -1.50917
0.449816 0.882813 -1.2371
0.306175 0.942311 -0.965033
0.154996 0.978606 -0.692964
-2.39286e-16 0.990804 -0.420894
-0.154996 0.978606 -0.148824
-0.306175 0.942311 0.123246
-0.449816 0.882813 0.395316
-0.58238 0.801577 0.667386
-0.700604 0.700604 0.939456
-0.801577 0.58238 1.21153
-0.882813 0.449816 1.4836
-0.942311 0.306175 1.75567
-0.978606 0.154996 2.02774
-0.990804 7.65404e-17 2.29981
-0.978606 -0.154996 2.57188
-0.942311 -0.306175 2.84395
-0.882813 -0.449816 3.11602
0.93942 -0.305236 -3.14159
0.978606 -0.154996 -2.86952
0.990804 3.46945e-17 -2.59745
0.978606 0.154996 -2.32538
0.942311 0.306175 -2.05331
0.882813 0.449816 -1.78124
0.801577 0.58238 -1.50917
0.700604 0.700604 -1.2371
0.58238 0.801577 -0.965033
0.449816 0.882813 -0.692964
0.306175 0.942311 -0.420894
0.154996 0.978606 -0.148824
-1.00508e-16 0.990804 0.123246
-0.154996 0.978606 0.395316
-0.306175 0.942311 0.667386
-0.449816 0.882813 0.939456
-0.58238 0.801577 1.21153
-0.700604 0.700604 1.4836
-0.801577 0.58238 1.75567
-0.882813 0.449816 2.02774
-0.942311 0.306175 2.29981
-0.978606 0.154996 2.57188
-0.990804 -2.01015e-16 2.84395
-0.978606 -0.154996 3.11602
0.799118 -0.580593 -3.14159
0.882813 -0.449816 -2.86952
0.942311 -0.306175 -2.59745
0.978606 -0.154996 -2.32538
0.990804 6.93889e-17 -2.05331
0.978606 0.154996 -1.78124
0.942311 0.306175 -1.50917
0.882813 0.449816 -1.2371
0.801577 0.58238 -0.965033
0.700604 0.700604 -0.692964
0.58238 0.801577 -0.420894
0.449816 0.882813 -0.148824
0.306175 0.942311 0.123246
0.154996 0.978606 0.395316
3.82702e-17 0.990804 0.667386
-0.154996 0.978606 0.939456
-0.306175 0.942311 1.21153
-0.449816 0.882813 1.4836
-0.58238 0.801577 1.75567
-0.700604 0.700604 2.02774
-0.801577 0.58238 2.29981
-0.882813 0.449816 2.57188
-0.942311 0.306175 2.84395
-0.978606 0.154996 3.11602
0.580593 -0.799118 -3.14159
0.700604 -0.700604 -2.86952
0.801577 -0.58238 -2.59745
0.882813 -0.449816 -2.32538
0.942311 -0.306175 -2.05331
0.978606 -0.154996 -1.78124
0.990804 6.93889e-17 -1.50917
0.978606 0.154996 -1.2371
0.942311 0.306175 -0.965033
0.882813 0.449816 -0.692964
0.801577 0.58238 -0.420894
0.700604 0.700604 -0.148824
0.58238 0.801577 0.123246
0.449816 0.882813 0.395316
0.306175 0.942311 0.667386
0.154996 0.978606 0.939456
-2.39286e-16 0.990804 1.21153
-0.154996 0.978606 1.4836
-0.306175 0.942311 1.75567
-0.449816 0.882813 2.02774
-0.58238 0.801577 2.29981
-0.700604 0.700604 2.57188
-0.801577 0.58238 2.84395
-0.882813 0.449816 3.11602
0.305236 -0.93942 -3.14159
0.449816 -0.882813 -2.86952
0.58238 -0.801577 -2.59745
0.700604 -0.700604 -2.32538
0.801577 -0.58238 -2.05331
0.882813 -0.449816 -1.78124
0.942311 -0.306175 -1.50917
0.978606 -0.154996 -1.2371
0.990804 1.38778e-16 -0.965033
0.978606 0.154996 -0.692964
0.942311 0.306175 -0.420894
0.882813 0.449816 -0.148824
0.801577 0.58238 0.123246
0.700604 0.700604 0.395316
0.58238 0.801577 0.667386
0.449816 0.882813 0.939456
0.306175 0.942311 1.21153
0.154996 0.978606 1.4836
-2.39286e-16 0.990804 1.75567
-0.154996 0.978606 2.02774
-0.306175 0.942311 2.29981
-0.449816 0.882813 2.57188
-0.58238 0.801577 2.84395
-0.700604 0.700604 3.11602
4.59243e-17 -0.987764 -3.14159
0.154996 -0.978606 -2.86952
0.306175 -0.942311 -2.59745
0.449816 -0.882813 -2.32538
0.58238 -0.801577 -2.05331
0.700604 -0.700604 -1.78124
0.801577 -0.58238 -1.50917
0.882813 -0.449816 -1.2371
0.942311 -0.306175 -0.965033
0.978606 -0.154996 -0.692964
0.990804 2.77556e-16 -0.420894
0.978606 0.154996 -0.148824
0.942311 0.306175 0.123246
0.882813 0.449816 0.395316
0.801577 0.58238 0.667386
0.700604 0.700604 0.939456
0.58238 0.801577 1.21153
0.449816 0.882813 1.4836
0.306175 0.942311 1.75567
0.154996 0.978606 2.02774
3.82702e-17 0.990804 2.29981
-0.154996 0.978606 2.57188
-0.306175 0.942311 2.84395
-0.449816 0.882813 3.11602
-0.305236 -0.93942 -3.14159
-0.154996 -0.978606 -2.86952
3.82702e-17 -0.990804 -2.59745
0.154996 -0.978606 -2.32538
0.306175 -0.942311 -2.05331
0.449816 -0.882813 -1.78124
0.58238 -0.801577 -1.50917
0.700604 -0.700604 -1.2371
0.801577 -0.58238 -0.965033
0.882813 -0.449816 -0.692964
0.942311 -0.306175 -0.420894
0.978606 -0.154996 -0.148824
0.990804 1.38778e-16 0.123246
0.978606 0.154996 0.395316
0.942311 0.306175 0.667386
0.882813 0.449816 0.939456
0.801577 0.58238 1.21153
0.700604 0.700604 1.4836
0.58238 0.801577 1.75567
0.449816 0.882813 2.02774
0.306175 0.942311 2.29981
0.154996 0.978606 2.57188
-2.39286e-16 0.990804 2.84395
-0.154996 0.978606 3.11602
-0.580593 -0.799118 -3.14159
-0.449816 -0.882813 -2.86952
-0.306175 -0.942311 -2.59745
-0.154996 -0.978606 -2.32538
3.82702e-17 -0.990804 -2.05331
0.154996 -0.978606 -1.78124
0.306175 -0.942311 -1.50917
0.449816 -0.882813 -1.2371
0.58238 -0.801577 -0.965033
0.700604 -0.700604 -0.692964
0.801577 -0.58238 -0.420894
0.882813 -0.449816 -0.148824
0.942311 -0.306175 0.123246
0.978606 -0.154996 0.395316
0.990804 0.0 0.667386
0.978606 0.154996 0.939456
0.942311 0.306175 1.21153
0.882813 0.449816 1.4836
0.801577 0.58238 1.75567
0.700604 0.700604 2.02774
0.58238 0.801577 2.29981
0.449816 0.882813 2.57188
0.306175 0.942311 2.84395
0.154996 0.978606 3.11602
-0.799118 -0.580593 -3.14159
-0.700604 -0.700604 -2.86952
-0.58238 -0.801577 -2.59745
-0.449816 -0.882813 -2.32538
-0.306175 -0.942311 -2.05331
-0.154996 -0.978606 -1.78124
3.82702e-17 -0.990804 -1.50917
0.154996 -0.978606 -1.2371
0.306175 -0.942311 -0.965033
0.449816 -0.882813 -0.692964
0.58238 -0.801577 -0.420894
0.700604 -0.700604 -0.148824
0.801577 -0.58238 0.123246
0.882813 -0.449816 0.395316
0.942311 -0.306175 0.667386
0.978606 -0.154996 0.939456
0.990804 2.77556e-16 1.21153
0.978606 0.154996 1.4836
0.942311 0.306175 1.75567
0.882813 0.449816 2.02774
0.801577 0.58238 2.29981
0.700604 0.700604 2.57188
0.58238 0.801577 2.84395
0.449816 0.882813 3.11602
-0.93942 -0.305236 -3.14159
-0.882813 -0.449816 -2.86952
-0.801577 -0.58238 -2.59745
-0.700604 -0.700604 -2.32538
-0.58238 -0.801577 -2.05331
-0.449816 -0.882813 -1.78124
-0.306175 -0.942311 -1.50917
-0.154996 -0.978606 -1.2371
1.77048e-16 -0.990804 -0.965033
0.154996 -0.978606 -0.692964
0.306175 -0.942311 -0.420894
0.449816 -0.882813 -0.148824
0.58238 -0.801577 0.123246
0.700604 -0.700604 0.395316
0.801577 -0.58238 0.667386
0.882813 -0.449816 0.939456
0.942311 -0.306175 1.21153
0.978606 -0.154996 1.4836
0.990804 2.77556e-16 1.75567
0.978606 0.154996 2.02774
0.942311 0.306175 2.29981
0.882813 0.449816 2.57188
0.801577 0.58238 2.84395
0.700604 0.700604 3.11602
-0.987764 -9.18485e-17 -3.14159
-0.978606 -0.154996 -2.86952
-0.942311 -0.306175 -2.59745
-0.882813 -0.449816 -2.32538
-0.801577 -0.58238 -2.05331
-0.700604 -0.700604 -1.78124
-0.58238 -0.801577 -1.50917
-0.449816 -0.882813 -1.2371
-0.306175 -0.942311 -0.965033
-0.154996 -0.978606 -0.692964
3.15826e-16 -0.990804 -0.420894
0.154996 -0.978606 -0.148824
0.306175 -0.942311 0.123246
0.449816 -0.882813 0.395316
0.58238 -0.801577 0.667386
0.700604 -0.700604 0.939456
0.801577 -0.58238 1.21153
0.882813 -0.449816 1.4836
0.942311 -0.306175 1.75567
0.978606 -0.154996 2.02774
0.990804 0.0 2.29981
0.978606 0.154996 2.57188
0.942311 0.306175 2.84395
0.882813 0.449816 3.11602
-0.93942 0.305236 -3.14159
-0.978606 0.154996 -2.86952
-0.990804 -3.54096e-16 -2.59745
-0.978606 -0.154996 -2.32538
-0.942311 -0.306175 -2.05331
-0.882813 -0.449816 -1.78124
-0.801577 -0.58238 -1.50917
-0.700604 -0.700604 -1.2371
-0.58238 -0.801577 -0.965033
-0.449816 -0.882813 -0.692964
-0.306175 -0.942311 -0.420894
-0.154996 -0.978606 -0.148824
4.54604e-16 -0.990804 0.123246
0.154996 -0.978606 0.395316
0.306175 -0.942311 0.667386
0.449816 -0.882813 0.939456
0.58238 -0.801577 1.21153
0.700604 -0.700604 1.4836
0.801577 -0.58238 1.75567
0.882813 -0.449816 2.02774
0.942311 -0.306175 2.29981
0.978606 -0.154996 2.57188
0.990804 5.55112e-16 2.84395
0.978606 0.154996 3.11602
-0.799118 0.580593 -3.14159
-0.882813 0.449816 -2.86952
-0.942311 0.306175 -2.59745
-0.978606 0.154996 -2.32538
-0.990804 -7.65404e-17 -2.05331
-0.978606 -0.154996 -1.78124
-0.942311 -0.306175 -1.50917
-0.882813 -0.449816 -1.2371
-0.801577 -0.58238 -0.965033
-0.700604 -0.700604 -0.692964
-0.58238 -0.801577 -0.420894
-0.449816 -0.882813 -0.148824
-0.306175 -0.942311 0.123246
-0.154996 -0.978606 0.395316
3.82702e-17 -0.990804 0.667386
0.154996 -0.978606 0.939456
0.306175 -0.942311 1.21153
0.449816 -0.882813 1.4836
0.58238 -0.801577 1.75567
0.700604 -0.700604 2.02774
0.801577 -0.58238 2.29981
0.882813 -0.449816 2.57188
0.942311 -0.306175 2.84395
0.978606 -0.154996 3.11602
-0.580593 0.799118 -3.14159
-0.700604 0.700604 -2.86952
-0.801577 0.58238 -2.59745
-0.882813 0.449816 -2.32538
-0.942311 0.306175 -2.05331
-0.978606 0.154996 -1.78124
-0.990804 -7.65404e-17 -1.50917
-0.978606 -0.154996 -1.2371
-0.942311 -0.306175 -0.965033
-0.882813 -0.449816 -0.692964
-0.801577 -0.58238 -0.420894
-0.700604 -0.700604 -0.148824
-0.58238 -0.801577 0.123246
-0.449816 -0.882813 0.395316
-0.306175 -0.942311 0.667386
-0.154996 -0.978606 0.939456
3.15826e-16 -0.990804 1.21153
0.154996 -0.978606 1.4836
0.306175 -0.942311 1.75567
0.449816 -0.882813 2.02774
0.58238 -0.801577 2.29981
0.700604 -0.700604 2.57188
0.801577 -0.58238 2.84395
0.882813 -0.449816 3.11602
-0.305236 0.93942 -3.14159
-0.449816 0.882813 -2.86952
-0.58238 0.801577 -2.59745
-0.700604 0.700604 -2.32538
-0.801577 0.58238 -2.05331
-0.882813 0.449816 -1.78124
-0.942311 0.306175 -1.50917
-0.978606 0.154996 -1.2371
-0.990804 -7.65404e-17 -0.965033
-0.978606 -0.154996 -0.692964
-0.942311 -0.306175 -0.420894
-0.882813 -0.449816 -0.148824
-0.801577 -0.58238 0.123246
-0.700604 -0.700604 0.395316
-0.58238 -0.801577 0.667386
-0.449816 -0.882813 0.939456
-0.306175 -0.942311 1.21153
-0.154996 -0.978606 1.4836
3.15826e-16 -0.990804 1.75567
0.154996 -0.978606 2.02774
0.306175 -0.942311 2.29981
0.449816 -0.882813 2.57188
0.58238 -0.801577 2.84395
0.700604 -0.700604 3.11602
-1.37773e-16 0.987764 -3.14159
-0.154996 0.978606 -2.86952
-0.306175 0.942311 -2.59745
-0.449816 0.882813 -2.32538
-0.58238 0.801577 -2.05331
-0.700604 0.700604 -1.78124
