RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =         4200     M =            5

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     3.633D+02  6.739D+04
    1    3     1     0  ---    1  6.1D-04  5.0D+00  2.370D+02  3.314D+04
    2    4     0     0  con    0  1.0D+00  1.1D+01  3.601D+01  1.547D+03
    3    5     0     0  con    0  1.0D+00  1.4D+00  2.442D+01  8.253D+02
    4    6     0     0  con    0  1.0D+00  2.6D+00  1.031D+01  2.588D+02
    5    7     0     0  con    0  1.0D+00  1.3D+00  1.869D+01  1.721D+02
    6    8     0     0  con    0  1.0D+00  5.6D-01  6.667D+00  1.018D+02
    7    9     0     0  con    0  1.0D+00  6.0D-01  4.323D+00  6.951D+01
    8   10     0     0  con    0  1.0D+00  5.4D-01  4.379D+00  4.990D+01
    9   11     0     0  con    0  1.0D+00  1.0D+00  1.824D+01  3.851D+01
   10   12     0     0  con    0  1.0D+00  3.2D-01  2.575D+00  2.337D+01
   11   13     0     0  con    0  1.0D+00  1.3D-01  1.680D+00  2.007D+01
   12   14     0     0  con    0  1.0D+00  3.8D-01  2.188D+00  1.450D+01
   13   16     0     0  con    1  4.8D-01  3.0D-01  3.599D+00  1.201D+01
   14   17     0     0  con    0  1.0D+00  2.6D-01  1.971D+00  9.465D+00
   15   18     0     0  con    0  1.0D+00  2.9D-01  1.096D+00  7.516D+00
   16   19     0     0  con    0  1.0D+00  2.4D-01  1.170D+00  6.351D+00
   17   20     0     0  con    0  1.0D+00  1.8D-01  1.034D+00  5.322D+00
   18   21     0     0  con    0  1.0D+00  1.5D-01  7.579D-01  4.463D+00
   19   22     0     0  con    0  1.0D+00  2.1D-01  1.565D+00  3.696D+00
   20   23     0     0  con    0  1.0D+00  1.6D-01  9.645D-01  3.033D+00
   21   24     0     0  con    0  1.0D+00  1.3D-01  5.656D-01  2.503D+00
   22   25     0     0  con    0  1.0D+00  1.6D-01  1.526D+00  2.105D+00
   23   26     0     0  con    0  1.0D+00  1.4D-01  1.327D+00  1.831D+00
   24   27     0     0  con    0  1.0D+00  5.0D-02  6.061D-01  1.604D+00
   25   28     0     0  con    0  1.0D+00  9.9D-02  3.253D-01  1.364D+00
   26   29     0     0  con    0  1.0D+00  1.3D-01  1.220D+00  1.177D+00
   27   30     0     0  con    0  1.0D+00  1.6D-01  3.396D-01  9.782D-01
   28   31     0     0  con    0  1.0D+00  8.0D-02  5.955D-01  8.495D-01
   29   32     0     0  con    0  1.0D+00  7.5D-02  4.000D-01  7.351D-01
   30   33     0     0  con    0  1.0D+00  7.0D-02  4.802D-01  6.450D-01
   31   34     0     0  con    0  1.0D+00  7.9D-02  4.793D-01  5.540D-01
   32   35     0     0  con    0  1.0D+00  7.7D-02  4.190D-01  4.768D-01
   33   36     0     0  con    0  1.0D+00  5.3D-02  2.171D-01  4.174D-01
   34   37     0     0  con    0  1.0D+00  6.0D-02  2.133D-01  3.718D-01
   35   38     0     0  con    0  1.0D+00  7.0D-02  4.919D-01  3.372D-01
   36   39     0     0  con    0  1.0D+00  3.7D-02  2.365D-01  3.047D-01
   37   40     0     0  con    0  1.0D+00  4.4D-02  1.528D-01  2.756D-01
   38   41     0     0  con    0  1.0D+00  6.0D-02  7.638D-01  2.514D-01
   39   42     0     0  con    0  1.0D+00  5.1D-02  1.366D-01  2.268D-01
   40   43     0     0  con    0  1.0D+00  3.3D-02  2.073D-01  2.073D-01
   41   44     0     0  con    0  1.0D+00  4.1D-02  3.279D-01  1.866D-01
   42   45     0     0  con    0  1.0D+00  5.4D-02  3.137D-01  1.685D-01
   43   46     0     0  con    0  1.0D+00  2.6D-02  1.043D-01  1.482D-01
   44   47     0     0  con    0  1.0D+00  4.0D-02  1.201D-01  1.250D-01
   45   48     0     0  con    0  1.0D+00  6.9D-02  6.005D-01  1.021D-01
   46   49     0     0  con    0  1.0D+00  6.0D-02  1.333D-01  7.745D-02
   47   50     0     0  con    0  1.0D+00  3.8D-02  1.687D-01  5.752D-02
   48   51     0     0  con    0  1.0D+00  8.5D-02  6.313D-01  3.597D-02
   49   52     0     0  con    0  1.0D+00  3.3D-02  1.824D-01  1.789D-02
   50   53     0     0  con    0  1.0D+00  1.6D-02  2.084D-01  6.582D-03
   51   54     0     0  con    0  1.0D+00  5.9D-02  2.780D-01 -1.494D-02
   52   56     0     0  con    1  5.2D-01  5.1D-02  3.394D-01 -2.629D-02
   53   57     0     0  con    0  1.0D+00  3.6D-02  1.481D-01 -3.918D-02
   54   58     0     0  con    0  1.0D+00  6.6D-02  1.006D-01 -5.567D-02
   55   59     0     0  con    0  1.0D+00  4.6D-02  3.080D-01 -6.410D-02
   56   60     0     0  con    0  1.0D+00  2.2D-02  1.714D-01 -7.305D-02
   57   61     0     0  con    0  1.0D+00  4.2D-02  1.001D-01 -8.925D-02
   58   62     0     0  con    0  1.0D+00  5.8D-02  4.188D-01 -1.017D-01
   59   63     0     0  con    0  1.0D+00  3.7D-02  2.462D-01 -1.163D-01
   60   64     0     0  con    0  1.0D+00  6.1D-02  1.224D-01 -1.339D-01
