RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =         4200     M =            5

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     3.633D+02  6.738D+04
    1    3     1     0  ---    1  6.1D-04  5.0D+00  2.370D+02  3.313D+04
    2    4     0     0  con    0  1.0D+00  1.1D+01  3.602D+01  1.551D+03
    3    5     0     0  con    0  1.0D+00  1.4D+00  2.442D+01  8.264D+02
    4    6     0     0  con    0  1.0D+00  2.6D+00  4.256D+01  2.714D+02
    5    7     0     0  con    0  1.0D+00  1.5D+00  1.082D+02  2.305D+02
    6    8     0     0  con    0  1.0D+00  4.3D-01  2.045D+01  1.298D+02
    7    9     0     0  con    0  1.0D+00  4.2D-01  8.746D+00  9.595D+01
    8   10     0     0  con    0  1.0D+00  6.7D-01  1.526D+01  6.621D+01
    9   11     0     0  con    0  1.0D+00  8.0D-01  1.614D+01  3.945D+01
   10   13     0     0  con    1  5.1D-01  5.1D-01  7.132D+00  3.002D+01
   11   14     0     0  con    0  1.0D+00  3.9D-01  4.343D+00  2.169D+01
   12   15     0     0  con    0  1.0D+00  3.0D-01  2.478D+00  1.716D+01
   13   16     0     0  con    0  1.0D+00  4.1D-01  1.042D+01  1.352D+01
   14   17     0     0  con    0  1.0D+00  2.5D-01  2.241D+00  1.052D+01
   15   18     0     0  con    0  1.0D+00  1.4D-01  2.843D+00  8.832D+00
   16   19     0     0  con    0  1.0D+00  2.6D-01  3.990D+00  7.008D+00
   17   20     0     0  con    0  1.0D+00  3.0D-01  7.079D+00  6.181D+00
   18   21     0     0  con    0  1.0D+00  5.3D-02  1.101D+00  5.177D+00
   19   22     0     0  con    0  1.0D+00  9.2D-02  1.694D+00  4.575D+00
   20   23     0     0  con    0  1.0D+00  1.4D-01  2.347D+00  3.985D+00
   21   24     0     0  con    0  1.0D+00  3.1D-01  5.119D+00  3.452D+00
   22   25     0     0  con    0  1.0D+00  1.4D-01  8.327D-01  2.667D+00
   23   26     0     0  con    0  1.0D+00  4.7D-02  8.341D-01  2.390D+00
   24   27     0     0  con    0  1.0D+00  1.2D-01  8.115D-01  2.008D+00
   25   28     0     0  con    0  1.0D+00  2.0D-01  4.671D+00  1.781D+00
   26   29     0     0  con    0  1.0D+00  8.4D-02  5.054D-01  1.447D+00
   27   30     0     0  con    0  1.0D+00  3.6D-02  5.375D-01  1.331D+00
   28   31     0     0  con    0  1.0D+00  7.4D-02  8.080D-01  1.185D+00
   29   32     0     0  con    0  1.0D+00  1.3D-01  1.389D+00  9.763D-01
   30   34     0     0  con    1  5.0D-01  1.0D-01  1.523D+00  8.639D-01
   31   35     0     0  con    0  1.0D+00  6.7D-02  4.466D-01  7.497D-01
   32   36     0     0  con    0  1.0D+00  6.3D-02  4.108D-01  6.540D-01
   33   37     0     0  con    0  1.0D+00  8.8D-02  1.148D+00  5.629D-01
   34   38     0     0  con    0  1.0D+00  9.4D-02  1.735D+00  5.071D-01
   35   39     0     0  con    0  1.0D+00  1.5D-02  2.017D-01  4.436D-01
   36   40     0     0  con    0  1.0D+00  2.4D-02  4.497D-01  4.027D-01
   37   41     0     0  con    0  1.0D+00  3.8D-02  6.715D-01  3.658D-01
   38   42     0     0  con    0  1.0D+00  1.1D-01  1.304D+00  3.373D-01
   39   43     0     0  con    0  1.0D+00  3.1D-02  1.967D-01  2.770D-01
   40   44     0     0  con    0  1.0D+00  1.5D-02  1.840D-01  2.592D-01
   41   45     0     0  con    0  1.0D+00  3.5D-02  2.325D-01  2.377D-01
   42   46     0     0  con    0  1.0D+00  5.3D-02  4.393D-01  2.096D-01
   43   47     0     0  con    0  1.0D+00  7.8D-02  5.815D-01  1.876D-01
   44   48     0     0  con    0  1.0D+00  1.1D-02  9.836D-02  1.699D-01
   45   49     0     0  con    0  1.0D+00  2.5D-02  3.537D-01  1.502D-01
   46   50     0     0  con    0  1.0D+00  4.3D-02  6.821D-01  1.318D-01
   47   51     0     0  con    0  1.0D+00  7.7D-02  6.320D-01  1.103D-01
   48   52     0     0  con    0  1.0D+00  3.2D-02  1.682D-01  9.125D-02
   49   53     0     0  con    0  1.0D+00  4.0D-02  2.581D-01  7.165D-02
   50   54     0     0  con    0  1.0D+00  5.2D-02  6.663D-01  5.211D-02
   51   55     0     0  con    0  1.0D+00  8.3D-02  5.543D-01  2.938D-02
   52   56     0     0  con    0  1.0D+00  4.4D-02  3.301D-01  1.331D-02
   53   57     0     0  con    0  1.0D+00  2.6D-02  2.501D-01 -1.019D-03
   54   58     0     0  con    0  1.0D+00  5.6D-02  2.543D-01 -1.963D-02
   55   59     0     0  con    0  1.0D+00  6.3D-02  6.026D-01 -3.020D-02
   56   60     0     0  con    0  1.0D+00  1.5D-02  1.100D-01 -4.304D-02
   57   61     0     0  con    0  1.0D+00  3.2D-02  1.639D-01 -5.405D-02
   58   62     0     0  con    0  1.0D+00  4.2D-02  3.228D-01 -6.405D-02
   59   63     0     0  con    0  1.0D+00  1.1D-01  1.115D+00 -6.636D-02
   60   64     0     0  con    0  1.0D+00  1.0D-02  1.452D-01 -8.694D-02
