RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =         2009     M =            5

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     1.676D+02  1.376D+04
    1    3     1     0  ---    1  2.0D-03  5.0D+00  7.784D+01  4.458D+03
    2    4     0     0  con    0  1.0D+00  6.2D+00  1.528D+01  3.375D+02
    3    5     0     0  con    0  1.0D+00  1.1D+00  1.047D+01  1.774D+02
    4    6     0     0  con    0  1.0D+00  1.9D+00  5.433D+00  4.994D+01
    5    7     0     0  con    0  1.0D+00  1.0D+00  6.508D+00  3.509D+01
    6    8     0     0  con    0  1.0D+00  3.2D-01  2.091D+00  1.919D+01
    7    9     0     0  con    0  1.0D+00  2.5D-01  2.068D+00  1.465D+01
    8   10     0     0  con    0  1.0D+00  3.6D-01  1.508D+00  1.065D+01
    9   11     0     0  con    0  1.0D+00  5.5D-01  1.261D+00  6.383D+00
   10   13     0     0  con    1  4.2D-01  2.7D-01  1.207D+00  5.037D+00
   11   14     0     0  con    0  1.0D+00  1.9D-01  7.858D-01  3.940D+00
   12   15     0     0  con    0  1.0D+00  2.1D-01  6.728D-01  3.046D+00
   13   16     0     0  con    0  1.0D+00  3.0D-01  6.781D-01  2.180D+00
   14   17     0     0  con    0  1.0D+00  3.3D-01  9.908D-01  1.742D+00
   15   18     0     0  con    0  1.0D+00  6.3D-02  3.512D-01  1.321D+00
   16   19     0     0  con    0  1.0D+00  6.5D-02  3.376D-01  1.130D+00
   17   20     0     0  con    0  1.0D+00  1.2D-01  4.005D-01  9.171D-01
   18   22     0     0  con    1  5.1D-01  1.2D-01  4.810D-01  7.853D-01
   19   23     0     0  con    0  1.0D+00  1.1D-01  2.189D-01  6.501D-01
   20   24     0     0  con    0  1.0D+00  6.8D-02  1.648D-01  5.829D-01
   21   25     0     0  con    0  1.0D+00  8.4D-02  2.317D-01  5.220D-01
   22   26     0     0  con    0  1.0D+00  8.8D-02  2.288D-01  4.692D-01
   23   27     0     0  con    0  1.0D+00  4.2D-02  1.626D-01  4.241D-01
   24   28     0     0  con    0  1.0D+00  8.2D-02  1.555D-01  3.694D-01
   25   29     0     0  con    0  1.0D+00  7.3D-02  2.202D-01  3.350D-01
   26   30     0     0  con    0  1.0D+00  5.4D-02  1.581D-01  2.998D-01
   27   31     0     0  con    0  1.0D+00  1.2D-01  1.756D-01  2.498D-01
   28   32     0     0  con    0  1.0D+00  8.7D-02  2.496D-01  2.218D-01
   29   33     0     0  con    0  1.0D+00  3.1D-02  1.573D-01  1.971D-01
   30   34     0     0  con    0  1.0D+00  7.0D-02  9.551D-02  1.714D-01
   31   35     0     0  con    0  1.0D+00  3.4D-02  1.111D-01  1.612D-01
   32   36     0     0  con    0  1.0D+00  4.7D-02  8.058D-02  1.471D-01
   33   37     0     0  con    0  1.0D+00  9.3D-02  2.019D-01  1.379D-01
   34   38     0     0  con    0  1.0D+00  2.0D-02  6.082D-02  1.217D-01
   35   39     0     0  con    0  1.0D+00  1.1D-02  5.926D-02  1.162D-01
   36   40     0     0  con    0  1.0D+00  3.3D-02  6.286D-02  1.070D-01
   37   41     0     0  con    0  1.0D+00  6.2D-02  2.305D-01  1.028D-01
   38   42     0     0  con    0  1.0D+00  2.0D-02  8.536D-02  9.197D-02
   39   43     0     0  con    0  1.0D+00  2.5D-02  4.617D-02  8.659D-02
   40   44     0     0  con    0  1.0D+00  3.7D-02  6.152D-02  8.123D-02
   41   45     0     0  con    0  1.0D+00  5.9D-02  7.677D-02  7.203D-02
   42   46     0     0  con    0  1.0D+00  1.4D-01  1.806D-01  6.969D-02
   43   47     0     0  con    0  1.0D+00  1.9D-02  5.836D-02  5.680D-02
   44   48     0     0  con    0  1.0D+00  1.1D-02  5.617D-02  5.257D-02
   45   49     0     0  con    0  1.0D+00  4.0D-02  6.704D-02  4.417D-02
   46   50     0     0  con    0  1.0D+00  1.0D-01  1.826D-01  3.877D-02
   47   51     0     0  con    0  1.0D+00  3.0D-02  7.349D-02  2.800D-02
   48   52     0     0  con    0  1.0D+00  3.3D-02  4.468D-02  2.302D-02
   49   53     0     0  con    0  1.0D+00  3.8D-02  4.757D-02  1.949D-02
   50   54     0     0  con    0  1.0D+00  4.4D-02  5.804D-02  1.498D-02
   51   56     0     0  con    1  5.1D-01  3.2D-02  5.289D-02  1.267D-02
   52   57     0     0  con    0  1.0D+00  1.2D-02  3.642D-02  1.070D-02
   53   58     0     0  con    0  1.0D+00  1.7D-02  3.334D-02  8.460D-03
   54   59     0     0  con    0  1.0D+00  2.6D-02  5.321D-02  6.522D-03
   55   60     0     0  con    0  1.0D+00  1.5D-02  3.162D-02  4.724D-03
   56   61     0     0  con    0  1.0D+00  7.1D-03  2.484D-02  3.625D-03
   57   62     0     0  con    0  1.0D+00  1.4D-02  2.901D-02  2.264D-03
   58   63     0     0  con    0  1.0D+00  2.3D-02  5.186D-02  1.170D-03
   59   64     0     0  con    0  1.0D+00  1.1D-02  2.920D-02 -1.160D-04
   60   65     0     0  con    0  1.0D+00  1.6D-02  2.054D-02 -1.224D-03
