7112 3
-0.215635 -0.944757 -4.57863
0.215635 -0.944757 -4.57863
-0.604195 -0.757636 -4.57863
0.604195 -0.757636 -4.57863
-0.873086 -0.420456 -4.57863
0.873086 -0.420456 -4.57863
-0.969053 -6.88864e-17 -4.57863
0.969053 0.0 -4.57863
-0.873086 0.420456 -4.57863
0.873086 0.420456 -4.57863
-0.604195 0.757636 -4.57863
0.604195 0.757636 -4.57863
-0.215635 0.944757 -4.57863
0.215635 0.944757 -4.57863
-0.152386 -1.00509 -4.12247
0.298798 -0.971675 -4.12247
-0.573389 -0.839439 -4.12247
0.690801 -0.745805 -4.12247
-0.880824 -0.507524 -4.12247
0.945983 -0.37222 -4.12247
-1.0138 -0.0750883 -4.12247
1.0138 0.0750883 -4.12247
-0.945983 0.37222 -4.12247
0.880824 0.507524 -4.12247
-0.690801 0.745805 -4.12247
0.573389 0.839439 -4.12247
-0.298798 0.971675 -4.12247
0.152386 1.00509 -4.12247
0.000837188 -1.10037 -3.6973
0.478187 -0.991036 -3.6973
-0.476679 -0.991763 -3.6973
0.860826 -0.685415 -3.6973
-0.859782 -0.686724 -3.6973
1.07297 -0.244039 -3.6973
-1.0726 -0.245672 -3.6973
1.0726 0.245672 -3.6973
-1.07297 0.244039 -3.6973
0.859782 0.686724 -3.6973
-0.860826 0.685415 -3.6973
0.476679 0.991763 -3.6973
-0.478187 0.991036 -3.6973
-0.000837188 1.10037 -3.6973
0.246831 -1.18201 -3.3145
-0.290466 -1.17205 -3.3145
0.735241 -0.957855 -3.3145
-0.770233 -0.929949 -3.3145
1.07803 -0.543989 -3.3145
-1.09745 -0.503664 -3.3145
1.2073 -0.0223786 -3.3145
-1.2073 0.0223786 -3.3145
1.09745 0.503664 -3.3145
-1.07803 0.543989 -3.3145
0.770233 0.929949 -3.3145
-0.735241 0.957855 -3.3145
0.290466 1.17205 -3.3145
-0.246831 1.18201 -3.3145
-0.0195113 -1.33931 -2.93076
0.563524 -1.21514 -2.93076
-0.598682 -1.19821 -2.93076
1.03495 -0.850298 -2.93076
-1.05928 -0.819789 -2.93076
1.30139 -0.317046 -2.93076
-1.31007 -0.279002 -2.93076
1.31007 0.279002 -2.93076
-1.30139 0.317046 -2.93076
1.05928 0.819789 -2.93076
-1.03495 0.850298 -2.93076
0.598682 1.19821 -2.93076
-0.563524 1.21514 -2.93076
0.0195113 1.33931 -2.93076
0.31807 -1.43063 -2.59777
-0.334156 -1.42696 -2.59777
0.907299 -1.15095 -2.59777
-0.920199 -1.14066 -2.59777
1.31683 -0.643307 -2.59777
-1.32398 -0.628441 -2.59777
1.46554 -0.0082499 -2.59777
-1.46554 0.0082499 -2.59777
1.32398 0.628441 -2.59777
-1.31683 0.643307 -2.59777
0.920199 1.14066 -2.59777
-0.907299 1.15095 -2.59777
0.334156 1.42696 -2.59777
-0.31807 1.43063 -2.59777
-0.000651516 -1.54683 -2.36597
-0.671732 -1.39336 -2.36597
0.670558 -1.39393 -2.36597
-1.20977 -0.963924 -2.36597
1.20895 -0.964942 -2.36597
-1.50819 -0.343567 -2.36597
