3280 3
1.83697e-17 -0.370711 -3.87724
-0.262132 -0.262132 -3.87724
0.262132 -0.262132 -3.87724
-0.370711 -3.67394e-17 -3.87724
0.370711 0.0 -3.87724
-0.262132 0.262132 -3.87724
0.262132 0.262132 -3.87724
-5.51091e-17 0.370711 -3.87724
0.146618 -0.469921 -3.54567
-0.22861 -0.435959 -3.54567
0.435959 -0.22861 -3.54567
-0.469921 -0.146618 -3.54567
0.469921 0.146618 -3.54567
-0.435959 0.22861 -3.54567
0.22861 0.435959 -3.54567
-0.146618 0.469921 -3.54567
-0.0308582 -0.650803 -3.32866
0.438367 -0.482007 -3.32866
-0.482007 -0.438367 -3.32866
0.650803 -0.0308582 -3.32866
-0.650803 0.0308582 -3.32866
0.482007 0.438367 -3.32866
-0.438367 0.482007 -3.32866
0.0308582 0.650803 -3.32866
0.274374 -0.717573 -3.20275
-0.313389 -0.701412 -3.20275
0.701412 -0.313389 -3.20275
-0.717573 -0.274374 -3.20275
0.717573 0.274374 -3.20275
-0.701412 0.313389 -3.20275
0.313389 0.701412 -3.20275
-0.274374 0.717573 -3.20275
-0.0210893 -0.909045 -3.0598
0.62788 -0.657704 -3.0598
-0.657704 -0.62788 -3.0598
0.909045 -0.0210893 -3.0598
-0.909045 0.0210893 -3.0598
0.657704 0.62788 -3.0598
-0.62788 0.657704 -3.0598
0.0210893 0.909045 -3.0598
0.349334 -0.955392 -2.95646
-0.428548 -0.92258 -2.95646
0.92258 -0.428548 -2.95646
-0.955392 -0.349334 -2.95646
0.955392 0.349334 -2.95646
-0.92258 0.428548 -2.95646
0.428548 0.92258 -2.95646
-0.349334 0.955392 -2.95646
-0.161809 -1.1176 -2.84956
0.675843 -0.904676 -2.84956
-0.904676 -0.675843 -2.84956
1.1176 -0.161809 -2.84956
-1.1176 0.161809 -2.84956
0.904676 0.675843 -2.84956
-0.675843 0.904676 -2.84956
0.161809 1.1176 -2.84956
0.170882 -1.18523 -2.78385
-0.717252 -0.958915 -2.78385
0.958915 -0.717252 -2.78385
-1.18523 -0.170882 -2.78385
1.18523 0.170882 -2.78385
-0.958915 0.717252 -2.78385
0.717252 0.958915 -2.78385
-0.170882 1.18523 -2.78385
-0.4537 -1.19824 -2.69906
0.526466 -1.16809 -2.69906
-1.16809 -0.526466 -2.69906
1.19824 -0.4537 -2.69906
-1.19824 0.4537 -2.69906
1.16809 0.526466 -2.69906
-0.526466 1.16809 -2.69906
0.4537 1.19824 -2.69906
-0.115462 -1.36843 -2.60342
0.885979 -1.04927 -2.60342
-1.04927 -0.885979 -2.60342
1.36843 -0.115462 -2.60342
-1.36843 0.115462 -2.60342
1.04927 0.885979 -2.60342
-0.885979 1.04927 -2.60342
0.115462 1.36843 -2.60342
0.267194 -1.41514 -2.53226
-0.81172 -1.18959 -2.53226
1.18959 -0.81172 -2.53226
-1.41514 -0.267194 -2.53226
1.41514 0.267194 -2.53226
-1.18959 0.81172 -2.53226
0.81172 1.18959 -2.53226
-0.267194 1.41514 -2.53226
-0.528397 -1.41096 -2.4575
0.624069 -1.37134 -2.4575
-1.37134 -0.624069 -2.4575
1.41096 -0.528397 -2.4575
-1.41096 0.528397 -2.4575
1.37134 0.624069 -2.4575
-0.624069 1.37134 -2.4575
0.528397 1.41096 -2.4575
-0.228678 -1.56593 -2.36993
0.94558 -1.26898 -2.36993
-1.26898 -0.94558 -2.36993
1.56593 -0.228678 -2.36993
-1.56593 0.228678 -2.36993
1.26898 0.94558 -2.36993
-0.94558 1.26898 -2.36993
0.228678 1.56593 -2.36993
0.111222 -1.61804 -2.32309
-1.06548 -1.22277 -2.32309
1.22277 -1.06548 -2.32309
-1.61804 -0.111222 -2.32309
1.61804 0.111222 -2.32309
-1.22277 1.06548 -2.32309
1.06548 1.22277 -2.32309
-0.111222 1.61804 -2.32309
0.472431 -1.6101 -2.25309
-0.804457 -1.47258 -2.25309
1.47258 -0.804457 -2.25309
-1.6101 -0.472431 -2.25309
1.6101 0.472431 -2.25309
-1.47258 0.804457 -2.25309
0.804457 1.47258 -2.25309
-0.472431 1.6101 -2.25309
-0.494269 -1.65863 -2.18431
0.823329 -1.52233 -2.18431
-1.52233 -0.823329 -2.18431
1.65863 -0.494269 -2.18431
-1.65863 0.494269 -2.18431
1.52233 0.823329 -2.18431
-0.823329 1.52233 -2.18431
0.494269 1.65863 -2.18431
-0.151118 -1.77393 -2.11656
1.1475 -1.36122 -2.11656
-1.36122 -1.1475 -2.11656
1.77393 -0.151118 -2.11656
-1.77393 0.151118 -2.11656
1.36122 1.1475 -2.11656
-1.1475 1.36122 -2.11656
0.151118 1.77393 -2.11656
0.228179 -1.8245 -2.03358
-1.12877 -1.45146 -2.03358
1.45146 -1.12877 -2.03358
-1.8245 -0.228179 -2.03358
1.8245 0.228179 -2.03358
-1.45146 1.12877 -2.03358
1.12877 1.45146 -2.03358
-0.228179 1.8245 -2.03358
0.614321 -1.77481 -1.97573
